id,tweetID,coordinates,hashtags
41331918,9.42E+17,,VVF
472307703,9.42E+17,,Gomorra3
467543553,9.42E+17,,abbonamenti
466802063,9.42E+17,"10.88584185,44.78416527",buonoregalo
8.34E+17,9.42E+17,,Bonaria
342031248,9.42E+17,"11.3514,44.5075",murales
510256540,9.42E+17,,BolognaJuventus
46692460,9.42E+17,,GFVIP
199012104,9.42E+17,"11.40949,44.51301",uova
466802063,9.42E+17,"10.88584185,44.78416527",pelle
79817305,9.42E+17,"10.9,43.9167",tree
7.92E+17,9.42E+17,,luce
527731761,9.42E+17,,Luvana
350842716,9.42E+17,,Ottana
527731761,9.42E+17,,XF11
144637193,9.42E+17,"11.01323,44.48202",personalizzati
144637193,9.42E+17,"11.01323,44.48202",personalizzati
77986446,9.42E+17,,LoiShua
60264368,9.42E+17,"11.7,44.35",italy
77986446,9.42E+17,,LoiShua
2218188812,9.42E+17,"11.35,44.6333",porte
77986446,9.42E+17,,LoiShua
527731761,9.42E+17,,Oneston
77986446,9.42E+17,,LoiShua
3466499235,9.42E+17,,infanzia
608079330,9.42E+17,,Trento
77986446,9.42E+17,,LoiShua
7.67E+17,9.42E+17,,oldstyle
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
527731761,9.42E+17,,damellis
61196377,9.42E+17,"10.90204186,44.63502863",rigocashmachine
527731761,9.42E+17,,damellis
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
964920631,9.42E+17,"11.3514,44.5075",cat
34196694,9.42E+17,"11.3466799,44.49453",Dilf
9.26E+17,9.42E+17,,newyearseve
527731761,9.42E+17,,accaddeoggi
1416465541,9.42E+17,,budrio
2696885995,9.42E+17,,SpalHellasVerona
2696885995,9.42E+17,,SpalHellasVerona
77986446,9.42E+17,,LoiShua
806798430,9.42E+17,"10.91874,43.93035",thepenelopist
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
8.00E+17,9.42E+17,"11.378347,44.492812",endorphins
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
77986446,9.42E+17,,LoiShua
170730521,9.42E+17,,blob25
77986446,9.42E+17,,LoiShua
417173453,9.42E+17,"11.36606493,44.51125304",motorshow
467543553,9.42E+17,,Natale
