id,tweetID,coordinates,hashtags
1360032458,9.41E+17,,AllIWantForChristmasIsYou
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
3375579785,9.41E+17,"4.577366,52.27364",brugopen
82207690,9.41E+17,,partyplanner
888407598,9.41E+17,"4.90299005,52.36539968",amsterdam
128643381,9.41E+17,"4.89144534,52.37297981",Royalty
128643381,9.41E+17,"4.89144534,52.37297981",Royalty
128643381,9.41E+17,"4.89144534,52.37297981",Royalty
7.04E+17,9.41E+17,"4.64054,52.22798",A4
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
2882547575,9.41E+17,"4.8754053,52.3682853",amsterdam
7.20E+17,9.41E+17,,numbers
2285054700,9.41E+17,,geitenwollensokken
75222648,9.41E+17,"4.8125,52.3464",ecofriendlyfashion
7.04E+17,9.41E+17,"4.66187,52.23523",N207
1166383453,9.41E+17,"4.8932,52.3731",trndnl
7.13E+17,9.41E+17,,lifestyle
224671737,9.41E+17,"4.8603045,52.3539687",alarm
20230946,9.41E+17,,alphen
7305132,9.41E+17,"4.91215467,52.37754769",Kerstborrel
4891893569,9.41E+17,,plastic
2213960711,9.41E+17,"4.8922,52.3731",beauty
4915661554,9.41E+17,,BoycottAmericanRestaurants
117177584,9.41E+17,,TheWife
4076804775,9.41E+17,,christmasiscoming
1166383453,9.41E+17,"4.8932,52.3731",herspa
57677441,9.41E+17,"5.26957,52.34094",kerst
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
7.04E+17,9.41E+17,"4.77725,52.49736",N246
7.04E+17,9.41E+17,"4.84209,52.36767",A10
25096492,9.41E+17,"4.8922,52.3731",amsterdam
47906555,9.41E+17,,Mercurs
20731002,9.41E+17,,billygraham
86075125,9.41E+17,"4.90931,52.3778",photo
10008402,9.41E+17,,CBS
1470689310,9.41E+17,,TomTomHackathon
236099866,9.41E+17,,vuejs
3408623247,9.41E+17,"4.8922,52.3731",tbt
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1934991727,9.41E+17,"4.8951679,52.3702157",hiring
44332613,9.41E+17,"4.86255,52.35493",boortje
2824626641,9.41E+17,,slave
118155499,9.41E+17,"5.21954,52.3745",photo
